,sample,annotation
7473,золотой ключик,"[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]"
8290,капуста papadimitrio,"[(0, 7, 'B-TYPE'), (8, 20, 'B-BRAND')]"
3493,биолает,"[(0, 7, 'B-TYPE')]"
1314,liberhous,"[(0, 9, 'B-BRAND')]"
9125,клубнтка,"[(0, 8, 'B-TYPE')]"
2777,арбуз,"[(0, 6, 'B-TYPE')]"
1112,jacobs коф,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]"
4904,вишнёвый сок детский,"[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE'), (13, 20, 'I-TYPE')]"
553,cykoria укро,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]"
5112,водка слобода,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]"
13898,мыло хозяйственный жидкий,"[(0, 4, 'B-TYPE'), (5, 18, 'I-TYPE'), (19, 25, 'I-TYPE')]"
9061,ккурузные,"[(0, 9, 'B-TYPE')]"
23326,термобел,"[(0, 8, 'B-TYPE')]"
10044,корм жидкий в соус,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 13, 'O'), (14, 19, 'O')]"
14403,нем около,"[(0, 8, 'B-TYPE')]"
25923,чипсы с кр,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 10, 'O')]"
16067,перепелин,"[(0, 9, 'B-TYPE')]"
3156,батат artfruit,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
623,domest,"[(0, 6, 'B-BRAND')]"
9401,колбасаы,"[(0, 8, 'B-TYPE')]"
11342,лампочка,"[(0, 8, 'B-TYPE')]"
10244,кофе nescafe gold,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]"
21156,сом марина,"[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND')]"
16178,перц,"[(0, 4, 'B-TYPE')]"
10690,крица,"[(0, 5, 'B-TYPE')]"
14155,наггется,"[(0, 8, 'B-TYPE')]"
3772,бренди torr,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
16297,печёнка,"[(0, 7, 'B-TYPE')]"
8958,кин дер мак ми кинг,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]"
1335,limpopo краска,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
2872,ацидобифеллин,"[(0, 13, 'B-TYPE')]"
11892,маинэз,"[(0, 6, 'B-TYPE')]"
23179,творожный сыр,"[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]"
10631,креме тки,"[(0, 8, 'B-TYPE')]"
6775,дыня производство,"[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND')]"
13924,мьло,"[(0, 4, 'B-TYPE')]"
22316,сыр для чисбургера,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 18, 'O')]"
22952,тарталетк,"[(0, 9, 'B-TYPE')]"
1991,seksodyne,"[(0, 9, 'B-BRAND')]"
19270,салфеткм,"[(0, 8, 'B-TYPE')]"
21368,соус кон,"[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]"
13837,мусорный,"[(0, 8, 'B-TYPE')]"
13867,мучной сме,"[(0, 6, 'O'), (7, 10, 'O')]"
17623,присервы,"[(0, 8, 'B-TYPE')]"
5170,восковой по лоск,"[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]"
12371,мармеладг,"[(0, 9, 'B-TYPE')]"
14711,овощ сушенн,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
5484,гель для стирка пер сил,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O'), (16, 22, 'B-BRAND')]"
1101,ireo,"[(0, 4, 'B-BRAND')]"
24954,хлеб восход черниговски,"[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 23, 'I-BRAND')]"
2948,ба гетт,"[(0, 6, 'B-TYPE')]"
4441,варено копчёный коровино,"[(0, 15, 'B-TYPE'), (16, 24, 'B-BRAND')]"
2680,аонфеты,"[(0, 7, 'B-TYPE')]"
14886,огурец 6 сотка,"[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]"
1957,sanfo,"[(0, 5, 'B-BRAND')]"
25641,чебоксарсий мясооминат,"[(0, 11, 'O'), (12, 22, 'O')]"
6013,гречеа,"[(0, 6, 'B-TYPE')]"
25554,чай с шиповник,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 16, 'O')]"
6729,дрожжи dr oetke,"[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]"
20333,слей ка,"[(0, 6, 'B-TYPE')]"
5182,враеники,"[(0, 8, 'B-TYPE')]"
6231,груша кулбаев,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]"
3886,бтны,"[(0, 4, 'O')]"
3528,бифид,"[(0, 5, 'B-TYPE')]"
3025,бальзам алкогольный,"[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]"
17057,полотенг,"[(0, 8, 'B-TYPE')]"
23659,торга до,"[(0, 7, 'B-BRAND')]"
5917,граната тен де,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
2699,апельсин,"[(0, 8, 'B-TYPE')]"
3337,безоактозный,"[(0, 12, 'B-TYPE')]"
5916,граната тенд,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]"
15695,пассатижи пинце,"[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]"
9952,корь для собака,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]"
19241,салфетка бумажный,"[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]"
4126,бумага attache,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
3011,бакложаны,"[(0, 9, 'B-TYPE')]"
225,bebelac,"[(0, 7, 'B-BRAND')]"
25609,чаша,"[(0, 4, 'B-TYPE')]"
2354,zeitun лось,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
14978,одноразовый плата,"[(0, 11, 'B-TYPE'), (12, 16, 'I-TYPE')]"
6407,дезодорнт,"[(0, 9, 'B-TYPE')]"
26434,шпикачки ца,"[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]"
21931,сулугуни zork,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
24960,хлеб дачный,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
27153,яйча,"[(0, 4, 'B-TYPE')]"
13538,мороженый молочный станция,"[(0, 9, 'B-TYPE'), (10, 18, 'B-BRAND'), (19, 26, 'I-BRAND')]"
3803,бритва beautific,"[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]"
15840,паштет с г,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 10, 'O')]"
2794,ари ант шампанское,"[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]"
23568,томат в со,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 11, 'O')]"
16586,пирожный аккон,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
23137,твороженные,"[(0, 11, 'B-TYPE')]"
9383,колбаса флотский,"[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]"
592,delikai,"[(0, 7, 'B-BRAND')]"
25318,хруст яш,"[(0, 7, 'B-TYPE')]"
11775,лук,"[(0, 4, 'B-TYPE')]"
1146,kamis ша фра,"[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]"
25509,чай зелёный,"[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]"
21309,соус грибной,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
25719,черноголовка кв,"[(0, 12, 'B-BRAND'), (13, 15, 'B-TYPE')]"
3965,булка для бургер,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]"
17299,пончикт,"[(0, 7, 'B-TYPE')]"
17293,пончик берлинский,"[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]"
6844,емк кап ус,"[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')]"
20725,смородиновый,"[(0, 12, 'B-TYPE')]"
6878,ессениуки,"[(0, 9, 'B-TYPE')]"
15108,ольви,"[(0, 5, 'B-BRAND')]"
9544,компот детский,"[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]"
12538,масло подс,"[(0, 5, 'B-TYPE'), (6, 10, 'O')]"
23331,термостатный,"[(0, 12, 'B-TYPE')]"
3415,белочк,"[(0, 6, 'B-TYPE')]"
17210,помидор маринованые,"[(0, 8, 'B-TYPE'), (9, 20, 'I-TYPE')]"
169,atlantic плавк,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
12101,макарощки,"[(0, 9, 'B-TYPE')]"
16543,пиродок,"[(0, 7, 'B-TYPE')]"
18823,руль,"[(0, 4, 'B-TYPE')]"
5985,грен,"[(0, 4, 'B-TYPE')]"
20793,снэки беллини,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]"
5253,вяленпый,"[(0, 8, 'B-TYPE')]"
18453,ре лис,"[(0, 5, 'B-TYPE')]"
14734,оврщи,"[(0, 5, 'B-TYPE')]"
11465,лепёшка карав,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
17609,приправа для подлива,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]"
21775,стерилизованный молочны,"[(0, 15, 'B-TYPE'), (16, 23, 'I-TYPE')]"
2455,агар,"[(0, 4, 'B-TYPE')]"
4808,винный уксус,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
137,artfruit крыж овна,"[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]"
5129,вода со вкус,"[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]"
26791,энернетик,"[(0, 9, 'B-TYPE')]"
14967,одно раз,"[(0, 7, 'B-TYPE')]"
1029,heint,"[(0, 5, 'B-BRAND')]"
15866,пдавки,"[(0, 6, 'B-TYPE')]"
26842,юбилйное,"[(0, 8, 'B-TYPE')]"
7048,жидкость для розжиг,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]"
5459,гель bag,"[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND')]"
3852,брусок,"[(0, 6, 'B-TYPE')]"
17801,прочая круп,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
24018,тунец в собственн,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 17, 'O')]"
26706,энергеиик,"[(0, 9, 'B-TYPE')]"
12994,мира торг корм кошачий,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 21, 'I-TYPE')]"
17703,пролине,"[(0, 7, 'B-TYPE')]"
23194,творожок тема,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
6864,ерсик,"[(0, 5, 'B-TYPE')]"
12895,минералка,"[(0, 10, 'B-TYPE')]"
23423,ти рамиму,"[(0, 8, 'B-TYPE')]"
17137,помада гигиенический,"[(0, 6, 'B-TYPE'), (7, 20, 'I-TYPE')]"
15394,охлажденны,"[(0, 10, 'B-TYPE')]"
27208,ятцо,"[(0, 4, 'B-TYPE')]"
24925,хлб,"[(0, 3, 'B-TYPE')]"
18576,рис селяноч,"[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND')]"
11466,лепёшка каравай,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]"
23356,тесто для чеб,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]"
12405,мароденое,"[(0, 9, 'B-TYPE')]"
746,everoess,"[(0, 8, 'B-BRAND')]"
25441,цуккини,"[(0, 7, 'B-TYPE')]"
23210,творош,"[(0, 6, 'B-TYPE')]"
6181,груд как,"[(0, 7, 'B-TYPE')]"
1794,picnoc,"[(0, 6, 'B-BRAND')]"
22453,сыр твёрдый,"[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]"
3669,бог даша,"[(0, 7, 'B-BRAND')]"
1333,limpopo бумага,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
9217,козоч,"[(0, 5, 'B-TYPE')]"
17011,подушк,"[(0, 6, 'B-TYPE')]"
8103,ка дачи,"[(0, 6, 'B-TYPE')]"
1776,pep,"[(0, 3, 'B-BRAND')]"
27077,яйцо куринные,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
4629,вермишель,"[(0, 9, 'B-TYPE')]"
22526,сырй,"[(0, 4, 'B-TYPE')]"
7717,или бумага,"[(0, 3, 'O'), (4, 10, 'B-TYPE')]"
8909,кефир первый вкус,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]"
23715,тортилии,"[(0, 8, 'B-TYPE')]"
18168,пюре овощ мясо,"[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 15, 'I-TYPE')]"
381,carat пирог,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]"
13063,мллко,"[(0, 5, 'B-TYPE')]"
22394,сыр плавленый viola,"[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE'), (14, 19, 'B-BRAND')]"
2162,tkano хлебница,"[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]"
15238,орехт,"[(0, 5, 'B-TYPE')]"
477,clipstudio блокнот,"[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]"
19341,саолат,"[(0, 6, 'B-TYPE')]"
9558,компотн,"[(0, 7, 'B-TYPE')]"
26874,яарш,"[(0, 4, 'B-TYPE')]"
7615,из килька,"[(0, 2, 'B-TYPE'), (3, 9, 'I-TYPE')]"
26682,эли ка сырнич,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]"
3824,бритьё adida,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
13630,морской капуста,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
1586,natura,"[(0, 6, 'B-BRAND')]"
8198,кальмы,"[(0, 6, 'B-TYPE')]"
8039,к репчаый,"[(0, 1, 'O'), (2, 9, 'O')]"
2743,аразисовая,"[(0, 10, 'B-TYPE')]"
20521,смак ароны,"[(0, 9, 'B-TYPE')]"
26330,шоколад тёмный,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
25338,ххяйца,"[(0, 6, 'B-TYPE')]"
16591,пирожнын,"[(0, 8, 'B-TYPE')]"
22264,сыо,"[(0, 3, 'B-TYPE')]"
12227,мандврины,"[(0, 9, 'B-TYPE')]"
9849,коптильный двор для,"[(0, 10, 'B-TYPE'), (11, 15, 'O'), (16, 19, 'O')]"
3569,блинный,"[(0, 7, 'B-TYPE')]"
6537,диск aste,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]"
12421,марципанов,"[(0, 10, 'B-TYPE')]"
10037,корм доя котёнок,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]"
6315,гурманский,"[(0, 10, 'B-TYPE')]"
17354,порошок автомат,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
12550,масло раф,"[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]"
18095,пшено шебекински,"[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND')]"
14040,мясо де,"[(0, 6, 'B-TYPE')]"
888,garard,"[(0, 6, 'B-BRAND')]"
8441,кардамон айдиг,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
11816,лый,"[(0, 3, 'O')]"
7649,ий гурты,"[(0, 7, 'B-TYPE')]"
8858,кем пи,"[(0, 5, 'B-TYPE')]"
6653,до машенька,"[(0, 10, 'B-TYPE')]"
18548,рис для поов,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]"
1157,kender,"[(0, 6, 'B-BRAND')]"
18929,рыбный,"[(0, 6, 'B-TYPE')]"
7270,заправка для ю,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 14, 'O')]"
4935,вкчина,"[(0, 6, 'B-TYPE')]"
23119,твород,"[(0, 6, 'B-TYPE')]"
10841,крупа перловый,"[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]"
7551,зубочистк,"[(0, 9, 'B-TYPE')]"
21192,соса здоровье,"[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]"
14982,одноразовый стан,"[(0, 11, 'B-TYPE'), (12, 16, 'I-TYPE')]"
24944,хлеб белый,"[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]"
26233,шейка свиной,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
18346,растительный масло,"[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]"
10045,корм жидкий для котёнок,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 15, 'O'), (16, 21, 'O')]"
3143,батарейка var,"[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]"
1241,l or,"[(0, 4, 'B-BRAND')]"
14793,огкэурец,"[(0, 8, 'B-TYPE')]"
8854,кекс с шо,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 10, 'O')]"
11537,лимнад,"[(0, 6, 'B-TYPE')]"
13175,молоко без лаки озы,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]"
12176,малярный инструмент,"[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]"
18455,рельмени,"[(0, 8, 'B-TYPE')]"
13099,моелоеко,"[(0, 8, 'B-TYPE')]"
558,c ахъар,"[(0, 6, 'B-TYPE')]"
21374,соус диабетически,"[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE')]"
11313,лак для воло,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]"
21866,ст ров,"[(0, 5, 'O')]"
17034,по крао плед,"[(0, 6, 'O'), (7, 11, 'O')]"
12160,малоежкп,"[(0, 8, 'B-TYPE')]"
3682,болгарский перец,"[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]"
8086,кабачоу,"[(0, 7, 'B-TYPE')]"
18401,ребрашки,"[(0, 8, 'B-TYPE')]"
26310,шоколад изюм,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]"
15603,панироаочные,"[(0, 12, 'B-TYPE')]"
2185,triol мис,"[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]"
1455,meli,"[(0, 4, 'O')]"
16206,перчатка н,"[(0, 8, 'B-TYPE'), (9, 10, 'B-BRAND')]"
19175,салатник альтернатива,"[(0, 9, 'B-TYPE'), (10, 21, 'B-BRAND')]"
4333,ваниль производство,"[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]"
4601,велмит,"[(0, 6, 'B-BRAND')]"
24202,укроп свежий,"[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]"
16486,пи вр,"[(0, 4, 'B-TYPE')]"
22747,сыррки,"[(0, 6, 'B-TYPE')]"
8268,капсульный,"[(0, 10, 'B-TYPE')]"
1836,pureco,"[(0, 6, 'B-BRAND')]"
26166,шар мель,"[(0, 7, 'B-BRAND')]"
21646,срофетки,"[(0, 8, 'B-TYPE')]"
9397,колбас ао,"[(0, 8, 'B-TYPE')]"
26252,шипучка,"[(0, 7, 'B-TYPE')]"
23198,творожокэ,"[(0, 9, 'B-TYPE')]"
10620,крем мыло niv,"[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]"
7537,зубной пас,"[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]"
14807,огруре,"[(0, 6, 'B-TYPE')]"
535,csaeon,"[(0, 6, 'O')]"
23401,тефтельки,"[(0, 9, 'B-TYPE')]"
26474,шпрот,"[(0, 8, 'B-TYPE')]"
9760,конфета развесные,"[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]"
12549,масло растительный нерафинированный,"[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE'), (19, 35, 'O')]"
27100,яйцаэ,"[(0, 5, 'B-TYPE')]"
26707,энергентик,"[(0, 10, 'B-TYPE')]"
6348,дак для волос,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]"
18403,ребрешки,"[(0, 8, 'B-TYPE')]"
9504,колсбаса,"[(0, 8, 'B-TYPE')]"
25168,хлнбец,"[(0, 6, 'B-TYPE')]"
15035,окрош,"[(0, 5, 'B-TYPE')]"
13814,мультизлаковый,"[(0, 14, 'B-TYPE')]"
14393,нектарин artfru,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]"
17688,прокладка каждый день,"[(0, 9, 'B-TYPE'), (10, 16, 'O'), (17, 21, 'O')]"
21231,сосиска детский,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
23909,тряпка,"[(0, 6, 'B-TYPE')]"
1277,landliebe пудинг,"[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]"
22943,тарелочка,"[(0, 9, 'B-TYPE')]"
1670,oena,"[(0, 4, 'O')]"
9826,коньяк garlin,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
9902,кордо,"[(0, 5, 'B-TYPE')]"
13793,мульти,"[(0, 6, 'B-TYPE')]"
361,burlesco парео,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
18674,розовый,"[(0, 7, 'B-TYPE')]"
14653,облепи хо,"[(0, 8, 'B-TYPE')]"
3870,брынза тендер,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
13570,морожиное,"[(0, 9, 'B-TYPE')]"
6577,для кошка паштет,"[(0, 3, 'O'), (4, 9, 'O'), (10, 16, 'B-TYPE')]"
10333,кочет,"[(0, 5, 'B-TYPE')]"
23029,творжны,"[(0, 7, 'B-TYPE')]"
1264,laimon,"[(0, 6, 'B-BRAND')]"
3024,балычков ая,"[(0, 10, 'B-TYPE')]"
22043,сух араки,"[(0, 8, 'B-TYPE')]"
13033,мистраль хлопь,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
18976,ряже ка,"[(0, 6, 'B-TYPE')]"
17699,прокл адски,"[(0, 10, 'B-TYPE')]"
2705,апельсино,"[(0, 9, 'B-TYPE')]"
20986,сок ябл,"[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]"
13488,морожееное,"[(0, 10, 'B-TYPE')]"
26248,шимон ад,"[(0, 7, 'B-TYPE')]"
19473,сахароза метель,"[(0, 14, 'B-TYPE')]"
17455,презерват,"[(0, 9, 'B-TYPE')]"
460,chono,"[(0, 5, 'B-BRAND')]"
11505,леь,"[(0, 3, 'O')]"
13914,мыльный пузырь,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
6959,желатин spicexper,"[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]"
9362,колбаса рем ит докторский,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 24, 'I-TYPE')]"
6932,жевачк,"[(0, 6, 'B-TYPE')]"
15940,пельменин,"[(0, 9, 'B-TYPE')]"
15949,пельменр,"[(0, 8, 'B-TYPE')]"
24532,фильтр автомобильн,"[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]"
2626,анан асв,"[(0, 7, 'B-TYPE')]"
2938,багет с чесн,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 12, 'O')]"
8679,каттофель,"[(0, 9, 'B-TYPE')]"
10746,крпхмал,"[(0, 7, 'B-TYPE')]"
10337,кошачиц корм сухой,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 18, 'I-TYPE')]"
6068,гречнев,"[(0, 8, 'B-TYPE')]"
3245,бедр,"[(0, 4, 'B-TYPE')]"
26981,ядрено,"[(0, 6, 'B-TYPE')]"
14718,овощ на,"[(0, 6, 'B-TYPE')]"
21516,спор,"[(0, 4, 'B-TYPE')]"
25108,хлебое мсеко,"[(0, 6, 'O'), (7, 12, 'O')]"
2279,vileda сова,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]"
9410,колбаска веле,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
14335,натуральный наутилус,"[(0, 11, 'B-TYPE'), (12, 20, 'B-BRAND')]"
3903,бублик бк,"[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]"
16860,поводик,"[(0, 7, 'B-TYPE')]"
2134,synergetic трусик,"[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]"
18923,рыб ац,"[(0, 5, 'B-TYPE')]"
3104,баранка хлебосольный,"[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]"
26396,шоколпд,"[(0, 7, 'B-TYPE')]"
27205,ясцо,"[(0, 4, 'B-TYPE')]"
1647,nurtella,"[(0, 8, 'B-BRAND')]"
20692,сметнав,"[(0, 7, 'B-TYPE')]"
13166,молока,"[(0, 5, 'B-TYPE')]"
24751,фру тон,"[(0, 6, 'B-BRAND')]"
25009,хлеб по купечески,"[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE'), (8, 17, 'I-TYPE')]"
18451,рел шуруповерты,"[(0, 15, 'O')]"
24853,халву,"[(0, 5, 'B-TYPE')]"
128,artfruit вишня,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
12695,мед ал,"[(0, 5, 'B-TYPE')]"
8022,йоргу рт,"[(0, 7, 'B-TYPE')]"
13761,мука кукурузный,"[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]"
19577,свечка,"[(0, 6, 'B-TYPE')]"
2669,антисиатик,"[(0, 10, 'B-TYPE')]"
11309,лай мон фреш ош,"[(0, 6, 'B-BRAND'), (7, 11, 'I-BRAND'), (12, 14, 'O')]"
24719,фрутаняня,"[(0, 9, 'B-TYPE')]"
23587,то милка,"[(0, 7, 'B-TYPE')]"
21649,срочно клюква,"[(0, 6, 'O'), (7, 13, 'B-TYPE')]"
17598,приправв для шашл,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]"
22429,сыр с грецкий,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O')]"
14819,огуицы,"[(0, 6, 'B-TYPE')]"
10726,кролик охлажден на,"[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]"
25275,хомбинезоны,"[(0, 11, 'B-TYPE')]"
5151,вологжанка,"[(0, 10, 'B-BRAND')]"
26927,яблокы,"[(0, 6, 'B-TYPE')]"
18406,ребрышки копчёный,"[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]"
17437,пр ст гигиенический,"[(0, 5, 'B-BRAND'), (6, 19, 'B-TYPE')]"
17827,пр очи,"[(0, 5, 'B-TYPE')]"
9994,корм влажный whiskas,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 20, 'B-BRAND')]"
7097,журна,"[(0, 5, 'B-TYPE')]"
16045,перенос,"[(0, 7, 'B-TYPE')]"
19513,саьат,"[(0, 5, 'B-TYPE')]"
3187,батон селя ночка,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
8550,картофельу,"[(0, 10, 'B-TYPE')]"
2184,trio,"[(0, 4, 'B-BRAND')]"
3487,биоке,"[(0, 5, 'B-TYPE')]"
5945,гранула стм,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]"
24648,фритюрница,"[(0, 10, 'B-TYPE')]"
16274,петунья,"[(0, 7, 'B-TYPE')]"
4073,булшур,"[(0, 6, 'B-TYPE')]"
6162,гру,"[(0, 3, 'B-TYPE')]"
